Name,Rating,Reviews,Time,Type
Hawa Mahal,4.5,(1.5L),Open,Castle
The City Palace,4.4,(55K),Open,Historical place
Nahargarh Fort,4.5,(73K),Open,Castle
Jantar Mantar,4.5,(40K),Open,Observatory
Albert Hall Museum,4.5,(68K),Open,Museum
Jal Mahal,4.2,(36K),,Historical landmark
Amber Palace,4.6,(1.7L),Open,Castle
"Birla Mandir, Jaipur",4.7,(30K),Open,Hindu temple
"Rambagh Palace, Jaipur",4.7,(7.7K),,5-star hotel
"THIKANA MANDIR SRI GOVINDDEVJI , JAIPUR",4.9,(17K),Open,Hindu temple
Jaigarh Fort,4.5,(30K),Open,Historical place museum
JAWAHAR KALA KENDRA,4.6,(15K),Open,Art museum
Moti Dungri Ganesh Ji Temple,4.8,(39K),Open,Hindu temple
Raj Mandir Cinema,4.6,(42K),Open,Movie theater
Sisodia Rani ka Bagh,4.4,(5.8K),Open,Garden
Ramniwas Bagh,4.4,(6.1K),Closed,Park
Patrika Gate,4.6,(17K),Open,Tourist attraction
Central Park,4.6,(25K),Open,Park
Galta Ji Temple,,,,Building
"Shri Khole Ke Hanuman Ji Temple, Jaipur",4.8,(19K),Open,Hindu temple
